date,predict_price,predicted_low_point,confidence,used_threshold,adj,actual_low_point,trend_regime,future_max_rise,days_to_rise,prediction_correct,strategy_reasons,strategy_indicators
2025-02-05,5614.387,False,0.035684151518400306,0.5,,True,bull,0.0788470762703034,12.0,False,MACD负值(-38.9559) | 弱趋势调整(+0.163) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.61 ≥ 0.50),"{""ma5"": 5608.999, ""ma10"": 5594.8638, ""ma20"": 5540.059950000001, ""rsi"": 61.61823990900115, ""macd"": -38.95594137320586, ""bb_lower"": 5348.274527348447, ""trend_regime"": ""bull""}"
2025-02-06,5747.901,False,0.027876406890239635,0.5,,True,bull,0.053787286872199046,11.0,False,温和放量(量比1.2) | MACD负值(-23.7621) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.57 ≥ 0.50),"{""ma5"": 5637.1672, ""ma10"": 5617.408, ""ma20"": 5541.1684000000005, ""rsi"": 68.52901329975, ""macd"": -23.762149382353527, ""bb_lower"": 5344.666331812885, ""trend_regime"": ""bull""}"
2025-02-07,5833.988,False,0.027631725017629,0.5,,False,bull,0.03823748009080569,10.0,True,放量下跌(量比1.6) | MACD负值(-4.7200) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.63 ≥ 0.50),"{""ma5"": 5687.113799999999, ""ma10"": 5646.2434, ""ma20"": 5555.57695, ""rsi"": 79.60343336047099, ""macd"": -4.720048541857977, ""bb_lower"": 5319.387182090797, ""trend_regime"": ""bull""}"
2025-02-10,5888.551,False,0.026887483743741263,0.5,,False,bull,0.028617226886546318,9.0,True,温和放量(量比1.4) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 基础置信度保留(0.6倍),"{""ma5"": 5734.834, ""ma10"": 5676.369100000001, ""ma20"": 5578.614299999999, ""rsi"": 80.64287562542773, ""macd"": 14.605370048750046, ""bb_lower"": 5307.587778854524, ""trend_regime"": ""bull""}"
2025-02-11,5858.28,False,0.026905709561487773,0.5,,False,bull,0.033932314604286556,8.0,True,"单日微跌(-0.51%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(80.6→71.4, -9.2) | 置信度达阈值(0.70 ≥ 0.50)","{""ma5"": 5788.621399999999, ""ma10"": 5700.764, ""ma20"": 5600.173250000001, ""rsi"": 71.44856238657322, ""macd"": 27.165143929725673, ""bb_lower"": 5311.8481815506475, ""trend_regime"": ""bull""}"
2025-02-12,5940.53,False,0.02673782990025571,0.5,,False,bull,0.026841207771023803,22.0,True,温和放量(量比1.3) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 基础置信度保留(0.6倍),"{""ma5"": 5853.85, ""ma10"": 5731.424499999999, ""ma20"": 5622.9655, ""rsi"": 79.8977926589784, ""macd"": 43.25710188285757, ""bb_lower"": 5302.771697703293, ""trend_regime"": ""bull""}"
2025-02-13,5898.261,False,0.0265512477975489,0.5,,False,bull,0.034199910787264136,21.0,True,"温和放量(量比1.4) | 近期成交活跃(5日量比1.3) | 单日微跌(-0.71%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(79.9→74.5, -5.4) | 置信度达阈值(0.91 ≥ 0.50)","{""ma5"": 5883.9220000000005, ""ma10"": 5760.544599999999, ""ma20"": 5644.79925, ""rsi"": 74.54727459795257, ""macd"": 51.9999167819451, ""bb_lower"": 5311.648626910752, ""trend_regime"": ""bull""}"
2025-02-14,5947.796,False,0.0262619643314481,0.5,,False,bull,0.02558678878697243,20.0,True,温和放量(量比1.3) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 基础置信度保留(0.6倍),"{""ma5"": 5906.6836, ""ma10"": 5796.8987, ""ma20"": 5669.35975, ""rsi"": 74.82331133561757, ""macd"": 62.20861886206421, ""bb_lower"": 5322.488685303469, ""trend_regime"": ""bull""}"
2025-02-17,5948.72,False,0.026600921861305016,0.5,,False,bull,0.03102885999004818,21.0,True,温和放量(量比1.4) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 基础置信度保留(0.6倍),"{""ma5"": 5918.7173999999995, ""ma10"": 5826.7757, ""ma20"": 5698.3317, ""rsi"": 73.88414380670349, ""macd"": 69.57166899478216, ""bb_lower"": 5360.311081170766, ""trend_regime"": ""bull""}"
2025-02-18,5840.711,False,0.058857206851636576,0.5,,True,bull,0.050095099723304136,20.0,False,"温和放量(量比1.2) | 单日下跌(-1.82%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(73.9→63.1, -10.8) | 置信度达阈值(0.92 ≥ 0.50)","{""ma5"": 5915.203600000001, ""ma10"": 5851.9125, ""ma20"": 5721.2824, ""rsi"": 63.113650027015446, ""macd"": 65.9314983694785, ""bb_lower"": 5412.735773550095, ""trend_regime"": ""bull""}"
2025-02-19,5943.882,False,0.026854682588732127,0.5,,False,bull,0.031868061983733875,19.0,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 基础置信度保留(0.6倍),"{""ma5"": 5915.874000000001, ""ma10"": 5884.861999999999, ""ma20"": 5739.8629, ""rsi"": 69.47524354028471, ""macd"": 70.55832197222298, ""bb_lower"": 5424.419475661725, ""trend_regime"": ""bull""}"
2025-02-20,5957.546,False,0.026767592250416104,0.5,,False,bull,0.029501408801543352,18.0,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 基础置信度保留(0.6倍),"{""ma5"": 5927.731, ""ma10"": 5905.8265, ""ma20"": 5761.61725, ""rsi"": 71.8144980791325, ""macd"": 74.46924847611535, ""bb_lower"": 5449.307325418086, ""trend_regime"": ""bull""}"
2025-02-21,6057.065,False,0.026033949027146168,0.5,,False,bull,0.012586458953304956,17.0,True,温和放量(量比1.4) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 基础置信度保留(0.6倍),"{""ma5"": 5949.5848, ""ma10"": 5928.1342, ""ma20"": 5787.188800000001, ""rsi"": 72.88636391744348, ""macd"": 84.62354988541938, ""bb_lower"": 5465.723209461879, ""trend_regime"": ""bull""}"
2025-02-24,6044.973,False,0.026033949027146168,0.5,,False,bull,0.01461197593438378,16.0,True,温和放量(量比1.3) | 单日微跌(-0.20%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.52 ≥ 0.50),"{""ma5"": 5968.8354, ""ma10"": 5943.7764, ""ma20"": 5810.07275, ""rsi"": 77.09141979184507, ""macd"": 90.65022421025424, ""bb_lower"": 5483.40315758986, ""trend_regime"": ""bull""}"
2025-02-25,5979.965,False,0.029281097172078996,0.5,,False,bull,0.025641788873346172,15.0,True,"单日下跌(-1.08%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(77.1→70.8, -6.3) | 置信度达阈值(0.80 ≥ 0.50)","{""ma5"": 5996.6862, ""ma10"": 5955.9449, ""ma20"": 5828.354450000001, ""rsi"": 70.75082077386605, ""macd"": 89.15310324868369, ""bb_lower"": 5506.926389719371, ""trend_regime"": ""bull""}"
2025-02-26,6051.74,False,0.026519145631414574,0.5,,False,bull,0.013477446155981569,14.0,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 基础置信度保留(0.6倍),"{""ma5"": 6018.2578, ""ma10"": 5967.0659, ""ma20"": 5849.2452, ""rsi"": 68.54628712901507, ""macd"": 92.689796475388, ""bb_lower"": 5526.715457787577, ""trend_regime"": ""bull""}"
2025-02-27,6028.986,False,0.027960575815283474,0.5,,False,bull,0.017302412047398984,13.0,True,"单日微跌(-0.38%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(68.5→62.9, -5.6) | 置信度达阈值(0.70 ≥ 0.50)","{""ma5"": 6032.5458, ""ma10"": 5980.1384, ""ma20"": 5870.3415, ""rsi"": 62.90003757587946, ""macd"": 92.58928209203168, ""bb_lower"": 5559.528365746274, ""trend_regime"": ""bull""}"
