date,predict_price,predicted_low_point,confidence,used_threshold,actual_low_point,trend_regime,future_max_rise,days_to_rise,prediction_correct,strategy_reasons,strategy_indicators
2025-07-01,5934.67,False,0.13451648346245473,0.5,True,bull,0.07101709109352326,20,False,"沪深300多头排列确认牛市 | 牛市弱趋势调整(+0.275) | 牛市环境基础奖励(+0.100) | 多头趋势: 均线支撑(+0.450) | 多头趋势: RSI健康区间(62.5, +0.150) | 多头趋势: 温和放量(量比1.12, +0.060) | 置信度达阈值(1.03 ≥ 0.50)","{""ma5"": 5882.916800000001, ""ma10"": 5791.6808, ""ma20"": 5780.16715, ""rsi"": 62.512846230183264, ""macd"": 41.80341938751917, ""bb_lower"": 5628.821679417666, ""trend_regime"": ""bull""}"
2025-07-02,5892.951,False,0.1604149888790381,0.5,True,bull,0.07859932994521757,19,False,"单日微跌(-0.70%) | 沪深300多头排列确认牛市 | 牛市弱趋势调整(+0.275) | 牛市环境基础奖励(+0.100) | 多头趋势: 均线支撑(+0.450) | 多头趋势: RSI健康回撤(62.5→57.7, +0.300) | 多头趋势: 温和放量(量比1.16, +0.060) | 置信度达阈值(1.28 ≥ 0.50)","{""ma5"": 5888.9964, ""ma10"": 5806.3887, ""ma20"": 5787.8644, ""rsi"": 57.738080383064904, ""macd"": 44.6420304424455, ""bb_lower"": 5629.82250158279, ""trend_regime"": ""bull""}"
2025-07-03,5922.66,False,0.16708565833766836,0.5,True,bull,0.07318890498526,18,False,"沪深300多头排列确认牛市 | 牛市弱趋势调整(+0.275) | 牛市环境基础奖励(+0.100) | 多头趋势: 均线支撑(+0.450) | 多头趋势: RSI健康区间(66.0, +0.150) | 多头趋势: 回撤缩量(量比0.92, +0.400) | 置信度达阈值(1.37 ≥ 0.50)","{""ma5"": 5905.8794, ""ma10"": 5830.9715, ""ma20"": 5795.49905, ""rsi"": 65.97194009778238, ""macd"": 48.727221092972286, ""bb_lower"": 5626.710376706468, ""trend_regime"": ""bull""}"
