日期,预测价格,预测低点,置信度,使用阈值,实际低点,趋势状态,未来最大涨幅,达标用时(天),预测正确
2025-07-21,6161.309,True,0.44,0.15,True,bull,9.20%,15.0,True
2025-07-22,6213.407,True,0.44,0.15,True,bull,8.28%,15.0,True
2025-07-23,6196.758,True,0.48,0.15,True,bull,10.10%,14.0,True
2025-07-24,6293.598,True,0.44,0.15,True,bull,8.41%,15.0,True
2025-07-25,6299.591,True,0.34,0.15,True,bull,8.31%,14.0,True
2025-07-28,6323.42,True,0.31,0.15,True,bull,10.13%,13.0,True
2025-07-29,6356.133,True,0.31,0.15,True,bull,10.31%,13.0,True
2025-07-30,6314.687,True,0.40,0.15,True,bull,11.55%,11.0,True
2025-07-31,6226.343,True,0.72,0.15,True,bull,13.13%,8.0,True
2025-08-01,6213.201,True,0.88,0.15,True,bull,13.37%,7.0,True
2025-08-04,6261.731,True,0.90,0.15,True,bull,13.55%,8.0,True
2025-08-05,6303.236,True,0.86,0.15,True,bull,12.80%,7.0,True
2025-08-06,6357.377,True,0.76,0.15,True,bull,11.84%,7.0,True
2025-08-07,6337.543,True,0.83,0.15,True,bull,12.19%,6.0,True
2025-08-08,6323.5,True,0.84,0.15,True,bull,12.44%,5.0,True
2025-08-11,6391.76,True,0.75,0.15,True,bull,11.24%,4.0,True
2025-08-12,6418.16,True,0.76,0.15,True,bull,10.98%,3.0,True
2025-08-13,6508.098,True,0.28,0.15,True,bull,9.83%,6.0,True
2025-08-14,6429.846,True,0.63,0.15,True,bull,11.17%,1.0,True
2025-08-15,6568.57,False,0.14,0.1,True,bull,8.82%,5.0,False
2025-08-18,6668.173,False,0.09,0.1,True,bull,8.88%,4.0,False
2025-08-19,6655.311,False,0.09,0.1,True,bull,9.09%,3.0,False
2025-08-20,6728.069,False,0.10,0.1,True,bull,7.91%,4.0,False
2025-08-21,6704.166,False,0.11,0.1,True,bull,8.29%,2.0,False
2025-08-22,6822.847,False,0.10,0.1,True,bull,6.41%,14.0,False
2025-08-25,6951.896,False,0.12,0.1,True,bull,5.35%,16.0,False
2025-08-26,6964.065,False,0.14,0.1,True,bull,5.42%,15.0,False
2025-08-27,6862.562,True,0.20,0.15,True,bull,6.98%,11.0,True
2025-08-28,7011.16,False,0.09,0.1,True,bull,4.71%,14.0,False
2025-08-29,7043.942,False,0.08,0.1,True,bull,4.22%,18.0,False
2025-09-01,7110.288,False,0.08,0.1,True,bull,4.25%,20.0,False
2025-09-02,6961.689,False,0.10,0.1,True,bull,6.47%,11.0,False
2025-09-03,6868.462,True,0.15,0.15,True,bull,7.92%,6.0,True
2025-09-04,6698.447,True,0.15,0.1,True,sideways,10.66%,1.0,True
2025-09-05,6913.953,False,0.14,0.1,True,bull,7.21%,7.0,False
2025-09-09,6928.965,False,0.14,0.1,True,bull,8.95%,2.0,False
2025-09-10,6932.109,False,0.14,0.1,True,bull,8.90%,4.0,False
2025-09-11,7122.705,False,0.08,0.1,True,bull,5.98%,12.0,False
2025-09-12,7147.749,False,0.08,0.1,True,bull,5.61%,12.0,False
2025-09-15,7137.363,False,0.10,0.1,True,bull,5.77%,11.0,False
2025-09-16,7190.993,False,0.07,0.1,True,bull,4.98%,10.0,False
2025-09-17,7260.035,False,0.06,0.1,True,bull,3.98%,9.0,False
2025-09-18,7199.883,False,0.12,0.1,True,bull,4.85%,8.0,False
2025-09-19,7170.349,False,0.13,0.1,True,bull,5.28%,7.0,False
2025-09-22,7225.128,False,0.13,0.1,True,bull,4.48%,6.0,False
2025-09-23,7180.714,False,0.13,0.1,True,bull,5.13%,4.0,False
2025-09-24,7323.709,False,0.08,0.1,False,bull,3.08%,0.0,True
2025-09-25,7341.324,False,0.08,0.1,False,bull,2.83%,0.0,True
2025-09-26,7240.911,False,0.15,0.1,True,bull,4.25%,2.0,False
2025-09-29,7350.56,False,0.10,0.1,False,bull,2.70%,0.0,True
2025-09-30,7412.368,False,0.08,0.1,False,bull,1.84%,0.0,True
2025-10-09,7548.923,False,0.07,0.1,False,bull,-2.00%,0.0,True
2025-10-10,7398.224,False,0.14,0.1,True,bull,-0.29%,1.0,False
2025-10-13,7376.564,False,0.15,0.1,False,bull,-1.12%,0.0,True
2025-10-14,7194.851,True,0.14,0.1,False,sideways,1.38%,0.0,False
2025-10-15,7294.001,False,0.14,0.1,False,bull,-0.86%,0.0,True
2025-10-16,7231.534,True,0.19,0.15,False,sideways,-2.98%,0.0,False
2025-10-17,7016.066,True,0.34,0.15,,sideways,-inf%,,False
