date,predict_price,predicted_low_point,confidence,used_threshold,actual_low_point,trend_regime,future_max_rise,days_to_rise,prediction_correct,strategy_reasons,strategy_indicators
2025-06-03,5694.838,False,0.49553257104306486,0.5,True,bear,0.04211392843835072,20,False,RSI偏低(40.41) | MACD负值(-8.2332) | 价格接近布林带下轨 | 弱趋势调整(+0.137) | 置信度达阈值(0.74 ≥ 0.50),"{""ma5"": 5675.040800000001, ""ma10"": 5690.6277, ""ma20"": 5720.9416, ""rsi"": 40.40967890151445, ""macd"": -8.233235523325675, ""bb_lower"": 5624.995603649323, ""trend_regime"": ""bear""}"
2025-06-04,5739.006,False,0.4701326480075926,0.5,False,sideways,0.03409370891056739,19,True,RSI偏低(43.73) | MACD负值(-3.8337) | 弱趋势调整(+0.137) | 基础置信度保留(0.6倍),"{""ma5"": 5692.4128, ""ma10"": 5689.7916, ""ma20"": 5720.8752, ""rsi"": 43.73056216664968, ""macd"": -3.8337306867952066, ""bb_lower"": 5624.983889033018, ""trend_regime"": ""sideways""}"
2025-06-05,5769.967,False,0.49067702749104675,0.5,False,sideways,0.02854487729305912,18,True,弱趋势调整(+0.137) | 基础置信度保留(0.6倍),"{""ma5"": 5718.9586, ""ma10"": 5690.996099999999, ""ma20"": 5721.8589999999995, ""rsi"": 56.40849511547266, ""macd"": 2.126687412330284, ""bb_lower"": 5624.307620820816, ""trend_regime"": ""sideways""}"
2025-06-06,5762.078,False,0.47760903095017404,0.5,False,sideways,0.029953082898218252,17,True,单日微跌(-0.14%) | 弱趋势调整(+0.137) | 基础置信度保留(0.6倍),"{""ma5"": 5727.3922, ""ma10"": 5696.875900000001, ""ma20"": 5721.272599999999, ""rsi"": 55.32730872323906, ""macd"": 6.142972961077248, ""bb_lower"": 5624.902163545377, ""trend_regime"": ""sideways""}"
2025-06-09,5805.654,True,0.5392973376489026,0.5,False,sideways,0.029641794016660176,21,False,弱趋势调整(+0.137) | 基础置信度保留(0.6倍),"{""ma5"": 5754.3086, ""ma10"": 5712.137, ""ma20"": 5725.46915, ""rsi"": 58.97946528907963, ""macd"": 12.695778186322059, ""bb_lower"": 5621.97006581955, ""trend_regime"": ""sideways""}"
2025-06-10,5757.992,True,0.5681929775865842,0.5,False,bull,0.03908636899808131,22,False,"单日微跌(-0.82%) | 沪深300中等牛市条件确认 | 牛市弱趋势调整(+0.287) | 牛市环境基础奖励(+0.100) | 多头趋势: RSI健康回撤(59.0→51.1, +0.300) | 多头趋势: 温和放量(量比1.17, +0.060) | 置信度达阈值(0.85 ≥ 0.50)","{""ma5"": 5766.9394, ""ma10"": 5720.9901, ""ma20"": 5723.68505, ""rsi"": 51.07626107409337, ""macd"": 13.882964295145939, ""bb_lower"": 5623.975512920581, ""trend_regime"": ""bull""}"
2025-06-11,5792.946,True,0.702077405812035,0.5,True,bull,0.04041691395017316,22,True,"沪深300中等牛市条件确认 | 牛市弱趋势调整(+0.287) | 牛市环境基础奖励(+0.100) | 多头趋势: 均线支撑(+0.450) | 多头趋势: RSI健康区间(53.4, +0.150) | 多头趋势: 温和放量(量比1.05, +0.060) | 置信度达阈值(1.05 ≥ 0.50)","{""ma5"": 5777.7274, ""ma10"": 5735.0701, ""ma20"": 5724.24895, ""rsi"": 53.38065582251947, ""macd"": 17.443238718922657, ""bb_lower"": 5623.042378529553, ""trend_regime"": ""bull""}"
2025-06-12,5799.932,True,0.7106006868511168,0.5,False,bull,0.03916373502310026,21,False,"沪深300中等牛市条件确认 | 牛市弱趋势调整(+0.287) | 牛市环境基础奖励(+0.100) | 多头趋势: 均线支撑(+0.450) | 多头趋势: RSI健康区间(60.3, +0.150) | 多头趋势: 温和放量(量比1.08, +0.060) | 置信度达阈值(1.05 ≥ 0.50)","{""ma5"": 5783.7204, ""ma10"": 5751.3395, ""ma20"": 5724.2896, ""rsi"": 60.27447645370473, ""macd"": 20.59113191454435, ""bb_lower"": 5622.955837102907, ""trend_regime"": ""bull""}"
2025-06-13,5740.24,True,0.6506268634487877,0.5,True,bull,0.04996986188730784,20,True,"温和放量(量比1.4) | 单日下跌(-1.03%) | 沪深300中等牛市条件确认 | 牛市弱趋势调整(+0.287) | 牛市环境基础奖励(+0.100) | 多头趋势: 均线支撑(+0.450) | 多头趋势: RSI健康区间(59.1, +0.150) | 置信度达阈值(1.31 ≥ 0.50)","{""ma5"": 5779.3528, ""ma10"": 5753.3724999999995, ""ma20"": 5725.5368, ""rsi"": 59.08671231020939, ""macd"": 18.061018242571663, ""bb_lower"": 5624.055202081848, ""trend_regime"": ""bull""}"
2025-06-16,5767.808,True,0.6564086766896986,0.5,True,bull,0.04495139227935461,19,True,"沪深300中等牛市条件确认 | 牛市弱趋势调整(+0.287) | 牛市环境基础奖励(+0.100) | 多头趋势: 均线支撑(+0.450) | 多头趋势: RSI健康区间(60.0, +0.150) | 多头趋势: 温和放量(量比1.08, +0.060) | 置信度达阈值(1.05 ≥ 0.50)","{""ma5"": 5771.783600000001, ""ma10"": 5763.0461000000005, ""ma20"": 5728.13475, ""rsi"": 60.015887403122505, ""macd"": 18.072068576580932, ""bb_lower"": 5625.049747877151, ""trend_regime"": ""bull""}"
