日期,预测价格,预测低点,置信度,使用阈值,实际低点,趋势状态,未来最大涨幅,达标用时(天),预测正确,策略原因,策略指标
2025-07-17,6082.464,True,0.6947379337807861,0.12,True,bull,0.07991925640661413,7.0,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.92) | 置信度达阈值(0.50 ≥ 0.10),"{""ma5"": 6033.271, ""ma10"": 5989.247799999999, ""ma20"": 5910.10965, ""rsi"": 76.3560212452165, ""macd"": 74.6778308297844, ""bb_lower"": 5680.161166610394, ""trend_regime"": ""bull""}"
2025-07-18,6099.61,True,0.712890863408451,0.12,True,bull,0.07688360403370052,7.0,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.93) | 置信度达阈值(0.50 ≥ 0.10),"{""ma5"": 6047.7771999999995, ""ma10"": 6008.0653, ""ma20"": 5933.1145, ""rsi"": 74.2110658430806, ""macd"": 78.69637109255473, ""bb_lower"": 5726.250282137642, ""trend_regime"": ""bull""}"
2025-07-21,6161.309,True,0.43575915914031293,0.12,True,bull,0.09198694628040895,15.0,True,温和放量(量比1.2) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.42 ≥ 0.10),"{""ma5"": 6075.867200000001, ""ma10"": 6034.1556, ""ma20"": 5957.47145, ""rsi"": 76.797905724495, ""macd"": 85.86983288141982, ""bb_lower"": 5764.750720781437, ""trend_regime"": ""bull""}"
2025-07-22,6213.407,True,0.43575915914031293,0.12,True,bull,0.0828308848913326,15.0,True,温和放量(量比1.4) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.42 ≥ 0.10),"{""ma5"": 6114.7970000000005, ""ma10"": 6057.7219, ""ma20"": 5979.849950000001, ""rsi"": 86.98314583400663, ""macd"": 94.66745869456099, ""bb_lower"": 5777.139694986096, ""trend_regime"": ""bull""}"
2025-07-23,6196.758,True,0.4823886528258254,0.12,True,bull,0.10103492826410196,14.0,True,温和放量(量比1.4) | 单日微跌(-0.27%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.52 ≥ 0.10),"{""ma5"": 6150.7096, ""ma10"": 6082.049, ""ma20"": 5996.5602, ""rsi"": 82.61626993759909, ""macd"": 99.15322867699797, ""bb_lower"": 5779.940108527046, ""trend_regime"": ""bull""}"
2025-07-24,6293.598,True,0.4355954997267491,0.12,True,bull,0.08409323251977642,15.0,True,温和放量(量比1.5) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.42 ≥ 0.10),"{""ma5"": 6192.9364000000005, ""ma10"": 6113.103700000001, ""ma20"": 6019.32785, ""rsi"": 87.77799964808287, ""macd"": 109.26289770965377, ""bb_lower"": 5778.412626435805, ""trend_regime"": ""bull""}"
2025-07-25,6299.591,True,0.34215812910853893,0.12,True,bull,0.08306190036781744,14.0,True,温和放量(量比1.3) | 近期成交活跃(5日量比1.3) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.51 ≥ 0.10),"{""ma5"": 6232.9326, ""ma10"": 6140.3549, ""ma20"": 6041.121, ""rsi"": 89.8575179974639, ""macd"": 116.41649142230926, ""bb_lower"": 5781.35269000124, ""trend_regime"": ""bull""}"
2025-07-28,6323.42,True,0.31383330608765925,0.12,True,bull,0.10131305527704937,13.0,True,近期成交活跃(5日量比1.3) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.39 ≥ 0.10),"{""ma5"": 6265.3548, ""ma10"": 6170.611, ""ma20"": 6061.5226, ""rsi"": 88.64408750245946, ""macd"": 122.59536408695476, ""bb_lower"": 5780.139769139727, ""trend_regime"": ""bull""}"
2025-07-29,6356.133,True,0.3111428990884594,0.12,True,bull,0.1030543256410777,13.0,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.30 ≥ 0.10),"{""ma5"": 6293.9, ""ma10"": 6204.3485, ""ma20"": 6082.5957499999995, ""rsi"": 94.1776823958991, ""macd"": 128.64884706823614, ""bb_lower"": 5778.965238468238, ""trend_regime"": ""bull""}"
2025-07-30,6314.687,True,0.39552428125777744,0.12,True,bull,0.11548553396233259,11.0,True,单日微跌(-0.65%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.40 ≥ 0.10),"{""ma5"": 6317.4858, ""ma10"": 6234.0977, ""ma20"": 6103.6825499999995, ""rsi"": 85.46196058974233, ""macd"": 128.61928704424554, ""bb_lower"": 5796.9449730727665, ""trend_regime"": ""bull""}"
2025-07-31,6226.343,True,0.7176059789986531,0.12,True,bull,0.13131287498937982,8.0,True,"单日下跌(-1.40%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(85.5→69.5, -16.0) | 置信度达阈值(0.80 ≥ 0.10)","{""ma5"": 6304.034799999999, ""ma10"": 6248.4856, ""ma20"": 6118.8667000000005, ""rsi"": 69.46279619464357, ""macd"": 120.08299600500231, ""bb_lower"": 5819.891969723902, ""trend_regime"": ""bull""}"
2025-08-01,6213.201,True,0.8807139420996103,0.12,True,bull,0.13370579834774377,7.0,True,单日微跌(-0.21%) | 3日累计下跌(-2.25%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.84) | 置信度达阈值(0.72 ≥ 0.10),"{""ma5"": 6286.7568, ""ma10"": 6259.8447, ""ma20"": 6133.955, ""rsi"": 68.53605791470063, ""macd"": 110.97818683174955, ""bb_lower"": 5848.924664241921, ""trend_regime"": ""bull""}"
2025-08-04,6261.731,True,0.90077527670734,0.12,True,bull,0.1355147642081718,8.0,True,成交量偏低(量比0.8) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.75) | 置信度达阈值(0.53 ≥ 0.10),"{""ma5"": 6274.419, ""ma10"": 6269.8868999999995, ""ma20"": 6152.02125, ""rsi"": 71.49210718588402, ""macd"": 106.45141968083317, ""bb_lower"": 5884.0249140352635, ""trend_regime"": ""bull""}"
2025-08-05,6303.236,True,0.8641062703016037,0.12,True,bull,0.12803772538423117,7.0,True,成交量偏低(量比0.8) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.78) | 置信度达阈值(0.53 ≥ 0.10),"{""ma5"": 6263.839599999999, ""ma10"": 6278.8697999999995, ""ma20"": 6168.29585, ""rsi"": 73.63182271072681, ""macd"": 105.00262581979223, ""bb_lower"": 5905.376706905317, ""trend_regime"": ""bull""}"
2025-08-06,6357.377,True,0.7584398733473069,0.12,True,bull,0.11843107621272092,7.0,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.84) | 置信度达阈值(0.50 ≥ 0.10),"{""ma5"": 6272.3776, ""ma10"": 6294.9317, ""ma20"": 6188.49035, ""rsi"": 73.13790346336744, ""macd"": 106.98985996490501, ""bb_lower"": 5933.1048858302, ""trend_regime"": ""bull""}"
2025-08-07,6337.543,True,0.8256160809058518,0.12,True,bull,0.12193132259615437,6.0,True,"单日微跌(-0.31%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(73.1→69.9, -3.2) | 多头趋势: 回撤缩量(量比0.87) | 置信度达阈值(0.90 ≥ 0.10)","{""ma5"": 6294.6176, ""ma10"": 6299.3261999999995, ""ma20"": 6206.21495, ""rsi"": 69.93530094861774, ""macd"": 105.74535270007982, ""bb_lower"": 5961.897908450671, ""trend_regime"": ""bull""}"
2025-08-08,6323.5,True,0.8411495330113097,0.12,True,bull,0.12442286708310264,5.0,True,"单日微跌(-0.22%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(69.9→64.8, -5.2) | 多头趋势: 回撤缩量(量比0.89) | 置信度达阈值(0.90 ≥ 0.10)","{""ma5"": 6316.6774, ""ma10"": 6301.7171, ""ma20"": 6221.036, ""rsi"": 64.76861522435513, ""macd"": 102.44499683504455, ""bb_lower"": 5986.715390277569, ""trend_regime"": ""bull""}"
2025-08-11,6391.76,True,0.7516484401724394,0.12,True,bull,0.11241473396998625,4.0,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.91) | 置信度达阈值(0.50 ≥ 0.10),"{""ma5"": 6342.6831999999995, ""ma10"": 6308.5511, ""ma20"": 6239.58105, ""rsi"": 65.77594030452755, ""macd"": 104.13702575178286, ""bb_lower"": 6013.399158163387, ""trend_regime"": ""bull""}"
2025-08-12,6418.16,True,0.7634323586827921,0.12,True,bull,0.10977367345158115,3.0,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.88) | 置信度达阈值(0.50 ≥ 0.10),"{""ma5"": 6365.668, ""ma10"": 6314.7538, ""ma20"": 6259.55115, ""rsi"": 69.25167820249729, ""macd"": 106.38192560675725, ""bb_lower"": 6045.245316881037, ""trend_regime"": ""bull""}"
2025-08-13,6508.098,True,0.28160129412946977,0.12,True,bull,0.09828539766918074,6.0,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.30 ≥ 0.10),"{""ma5"": 6395.8122, ""ma10"": 6334.094899999999, ""ma20"": 6284.096299999999, ""rsi"": 68.87812039048225, ""macd"": 114.10296195345472, ""bb_lower"": 6074.262807892049, ""trend_regime"": ""bull""}"
2025-08-14,6429.846,True,0.6286053543723704,0.12,True,bull,0.11165166319691021,1.0,True,"单日下跌(-1.20%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(68.9→60.2, -8.7) | 置信度达阈值(0.80 ≥ 0.10)","{""ma5"": 6414.272800000001, ""ma10"": 6354.4452, ""ma20"": 6301.4654, ""rsi"": 60.17018100275299, ""macd"": 112.60956351336426, ""bb_lower"": 6104.810946760919, ""trend_regime"": ""bull""}"
2025-08-15,6568.57,True,0.14210962708608238,0.12,True,bull,0.08817429059901928,5.0,True,温和放量(量比1.2) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.42 ≥ 0.10),"{""ma5"": 6463.2868, ""ma10"": 6389.982099999999, ""ma20"": 6324.9133999999995, ""rsi"": 66.22925250770578, ""macd"": 121.2225241256765, ""bb_lower"": 6118.031935260221, ""trend_regime"": ""bull""}"
2025-08-18,6668.173,True,0.08881621827184842,0.1,True,bull,0.08875924484862646,4.0,True,温和放量(量比1.4) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.42 ≥ 0.10),"{""ma5"": 6518.569399999999, ""ma10"": 6430.626299999999, ""ma20"": 6350.2566, ""rsi"": 68.97679532744152, ""macd"": 134.53465538460296, ""bb_lower"": 6106.809895697774, ""trend_regime"": ""bull""}"
2025-08-19,6655.311,True,0.08933649717736868,0.1,True,bull,0.090863372124909,3.0,True,温和放量(量比1.2) | 单日微跌(-0.19%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.52 ≥ 0.10),"{""ma5"": 6565.9996, ""ma10"": 6465.8338, ""ma20"": 6372.3517999999995, ""rsi"": 71.46128042864086, ""macd"": 142.4052008964727, ""bb_lower"": 6102.427314888607, ""trend_regime"": ""bull""}"
2025-08-20,6728.069,True,0.09548222463237392,0.1,True,bull,0.07906666831151693,4.0,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.30 ≥ 0.10),"{""ma5"": 6609.993799999999, ""ma10"": 6502.903, ""ma20"": 6398.91735, ""rsi"": 82.24493310985198, ""macd"": 152.7527883955563, ""bb_lower"": 6098.85830099062, ""trend_regime"": ""bull""}"
2025-08-21,6704.166,True,0.10729462934686093,0.1,True,bull,0.08291396722575183,2.0,True,单日微跌(-0.36%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.40 ≥ 0.10),"{""ma5"": 6664.8578, ""ma10"": 6539.5653, ""ma20"": 6419.44575, ""rsi"": 81.12286102239855, ""macd"": 157.212308078364, ""bb_lower"": 6094.573443117767, ""trend_regime"": ""bull""}"
2025-08-22,6822.847,True,0.096553028562343,0.1,True,bull,0.0640770634311454,14.0,True,温和放量(量比1.2) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.42 ≥ 0.10),"{""ma5"": 6715.7132, ""ma10"": 6589.5, ""ma20"": 6445.60855, ""rsi"": 82.66465169564925, ""macd"": 168.3820707007544, ""bb_lower"": 6079.691636716642, ""trend_regime"": ""bull""}"
2025-08-25,6951.896,True,0.118646854299086,0.1,True,bull,0.05348368272482789,16.0,True,放量下跌(量比1.6) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.48 ≥ 0.10),"{""ma5"": 6772.457800000001, ""ma10"": 6645.5136, ""ma20"": 6477.0323499999995, ""rsi"": 84.26812672222871, ""macd"": 185.50893234848718, ""bb_lower"": 6052.111310542447, ""trend_regime"": ""bull""}"
2025-08-26,6964.065,True,0.1417448852728438,0.12,True,bull,0.054172239920219016,15.0,True,温和放量(量比1.3) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.42 ≥ 0.10),"{""ma5"": 6834.2086, ""ma10"": 6700.1041, ""ma20"": 6507.4289499999995, ""rsi"": 83.53809277415864, ""macd"": 197.7840982280677, ""bb_lower"": 6034.642125905064, ""trend_regime"": ""bull""}"
2025-08-27,6862.562,True,0.20154641570026918,0.12,True,bull,0.06976432416931165,11.0,True,"温和放量(量比1.5) | 单日下跌(-1.46%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(83.5→76.6, -6.9) | 置信度达阈值(0.92 ≥ 0.10)","{""ma5"": 6861.1072, ""ma10"": 6735.5505, ""ma20"": 6534.8227, ""rsi"": 76.61976686998362, ""macd"": 197.05033818240463, ""bb_lower"": 6045.845952504044, ""trend_regime"": ""bull""}"
2025-08-28,7011.16,True,0.08954499176011774,0.1,True,bull,0.047091208872711475,14.0,True,温和放量(量比1.4) | 近期成交活跃(5日量比1.3) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.51 ≥ 0.10),"{""ma5"": 6922.505999999999, ""ma10"": 6793.681899999999, ""ma20"": 6574.063550000001, ""rsi"": 80.67993218524134, ""macd"": 206.08383856620276, ""bb_lower"": 6063.819574312524, ""trend_regime"": ""bull""}"
2025-08-29,7043.942,True,0.08490057091070798,0.1,True,bull,0.042218121614289214,18.0,True,温和放量(量比1.2) | 近期成交活跃(5日量比1.3) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.51 ≥ 0.10),"{""ma5"": 6966.725, ""ma10"": 6841.2191, ""ma20"": 6615.6006, ""rsi"": 80.04832191017135, ""macd"": 213.42792190318232, ""bb_lower"": 6093.920158940662, ""trend_regime"": ""bull""}"
2025-09-01,7110.288,True,0.08491528312662351,0.1,True,bull,0.042484917629215704,20.0,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.30 ≥ 0.10),"{""ma5"": 6998.4034, ""ma10"": 6885.4306, ""ma20"": 6658.02845, ""rsi"": 80.75665145116105, ""macd"": 222.04216472385542, ""bb_lower"": 6119.765303031601, ""trend_regime"": ""bull""}"
2025-09-02,6961.689,True,0.0969484391185339,0.1,True,bull,0.06473701999615324,11.0,True,"单日大跌(-2.09%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(80.8→69.2, -11.6) | 置信度达阈值(0.90 ≥ 0.10)","{""ma5"": 6997.9282, ""ma10"": 6916.068400000001, ""ma20"": 6690.9511, ""rsi"": 69.15779221492295, ""macd"": 214.40676904519387, ""bb_lower"": 6163.622519229183, ""trend_regime"": ""bull""}"
2025-09-03,6868.462,True,0.15477148563995935,0.12,True,bull,0.0791889072109593,6.0,True,单日下跌(-1.34%) | 3日累计下跌(-2.49%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 置信度达阈值(0.62 ≥ 0.10),"{""ma5"": 6999.1082, ""ma10"": 6930.107699999999, ""ma20"": 6716.505349999999, ""rsi"": 68.29389958658801, ""macd"": 198.54432776937392, ""bb_lower"": 6208.042993471452, ""trend_regime"": ""bull""}"
2025-09-04,6698.447,True,0.14713251348566703,0.12,True,sideways,0.10658007744183096,1.0,True,价格低于MA5/MA10/MA20 | 单日大跌(-2.48%) | 3日累计大跌(-5.79%) | 置信度达阈值(0.90 ≥ 0.10),"{""ma5"": 6936.5656, ""ma10"": 6929.5358, ""ma20"": 6734.55055, ""rsi"": 55.279145106678776, ""macd"": 170.29142559863976, ""bb_lower"": 6258.1081628146685, ""trend_regime"": ""sideways""}"
2025-09-05,6913.953,True,0.14411874934908073,0.12,True,bull,0.07208828292584574,7.0,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.92) | 置信度达阈值(0.50 ≥ 0.10),"{""ma5"": 6910.5678, ""ma10"": 6938.6464000000005, ""ma20"": 6764.073200000001, ""rsi"": 59.13002842500512, ""macd"": 163.4066797315545, ""bb_lower"": 6323.015058085559, ""trend_regime"": ""bull""}"
2025-09-09,6928.965,True,0.1385971254227208,0.12,True,bull,0.08947339176918914,2.0,True,"单日微跌(-0.90%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(61.9→57.2, -4.8) | 多头趋势: 回撤缩量(量比0.85) | 置信度达阈值(0.90 ≥ 0.10)","{""ma5"": 6880.388800000001, ""ma10"": 6939.1585, ""ma20"": 6819.631299999999, ""rsi"": 57.166186057727295, ""macd"": 154.69759287284433, ""bb_lower"": 6440.375929377678, ""trend_regime"": ""bull""}"
2025-09-10,6932.109,True,0.1369859862852512,0.12,True,bull,0.08897927023363299,4.0,True,成交量偏低(量比0.7) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.71) | 置信度达阈值(0.53 ≥ 0.10),"{""ma5"": 6893.1182, ""ma10"": 6946.1132, ""ma20"": 6840.83185, ""rsi"": 58.25321249732973, ""macd"": 147.16196131524703, ""bb_lower"": 6488.449434740291, ""trend_regime"": ""bull""}"
2025-09-11,7122.705,True,0.08296051019756924,0.1,True,bull,0.05983934474332432,12.0,True,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.92) | 置信度达阈值(0.50 ≥ 0.10),"{""ma5"": 6977.969800000001, ""ma10"": 6957.267699999999, ""ma20"": 6875.474800000001, ""rsi"": 60.3196475892212, ""macd"": 154.78515640470596, ""bb_lower"": 6558.793351098588, ""trend_regime"": ""bull""}"
2025-09-12,7147.749,True,0.08296051019756925,0.1,True,bull,0.05612592160133211,12.0,True,"多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: RSI健康回撤(60.3→57.3, -3.1) | 多头趋势: 回撤缩量(量比1.00) | 置信度达阈值(0.80 ≥ 0.10)","{""ma5"": 7024.729000000001, ""ma10"": 6967.648400000001, ""ma20"": 6904.433749999999, ""rsi"": 57.26002617053851, ""macd"": 160.99162370949853, ""bb_lower"": 6600.240534603674, ""trend_regime"": ""bull""}"
2025-09-15,7137.363,True,0.10423425426278478,0.1,True,bull,0.05766275303638045,11.0,True,单日微跌(-0.15%) | 多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.90) | 置信度达阈值(0.60 ≥ 0.10),"{""ma5"": 7053.778200000001, ""ma10"": 6970.3559000000005, ""ma20"": 6927.893249999999, ""rsi"": 56.43244334707686, ""macd"": 163.1910653447694, ""bb_lower"": 6628.081339101984, ""trend_regime"": ""bull""}"
2025-09-16,7190.993,False,0.07324405991506577,0.08,True,bull,0.04977476685069772,10.0,False,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.92) | 置信度达阈值(0.50 ≥ 0.10),"{""ma5"": 7106.183800000001, ""ma10"": 6993.2863, ""ma20"": 6954.677350000001, ""rsi"": 62.63984685830933, ""macd"": 167.33272400095302, ""bb_lower"": 6661.7657415325, ""trend_regime"": ""bull""}"
2025-09-17,7260.035,False,0.06442527947910937,0.08,True,bull,0.0397915437046791,9.0,False,多头趋势: 均线支撑(MA10≥MA20且价在MA20上方) | 多头趋势: 回撤缩量(量比0.98) | 置信度达阈值(0.50 ≥ 0.10),"{""ma5"": 7171.769, ""ma10"": 7032.4436000000005, ""ma20"": 6981.2756500000005, ""rsi"": 60.20286430426204, ""macd"": 174.17831156347893, ""bb_lower"": 6678.55837417377, ""trend_regime"": ""bull""}"
